zip,tier,score,rank,town,state
11957,Peak,100.00,1,,
11975,Peak,99.92,2,,
08247,Peak,99.84,3,Stone Harbor,NJ
10462,Peak,99.75,4,,
08270,Peak,99.67,5,,
19137,Peak,99.59,6,,
08008,Peak,99.51,7,Beach Haven,NJ
11935,Peak,99.42,8,,
19150,Peak,99.34,9,,
19153,Peak,99.26,10,,
19135,Peak,99.18,11,,
11939,Peak,99.09,12,,
19126,Peak,99.01,13,,
11977,Peak,98.93,14,Westhampton Beach Village,NY
08202,Peak,98.85,15,Avalon,NJ
08243,Peak,98.76,16,Sea Isle City,NJ
11971,Peak,98.68,17,Southold Town,NY
11964,Peak,98.60,18,,
08251,Peak,98.52,19,,
11965,Peak,98.43,20,,
08226,Peak,98.35,21,Ocean City,NJ
19142,Peak,98.27,22,,
10452,Peak,98.19,23,,
19032,Peak,98.10,24,,
19079,Peak,98.02,25,,
08757,Peak,97.94,26,Toms River Township,NJ
11960,Peak,97.86,27,,
08087,Peak,97.77,28,Tuckerton,NJ
19139,Peak,97.69,29,,
19141,Peak,97.61,30,,
11944,Peak,97.53,31,Greenport Town,NY
19435,Peak,97.44,32,,
08210,Peak,97.36,33,,
11509,Peak,97.28,34,Atlantic Beach,NY
08204,Peak,97.20,35,Cape May,NJ
08103,Peak,97.11,36,,
08752,Peak,97.03,37,Seaside Park,NJ
08759,Peak,96.95,38,Manchester Township,NJ
07439,Peak,96.87,39,Ogdensburg,NJ
08102,Peak,96.78,40,,
11962,Peak,96.70,41,,
08609,Peak,96.62,42,Trenton,NJ
19022,Peak,96.54,43,,
08203,Peak,96.46,44,Brigantine,NJ
07711,Peak,96.37,45,Allenhurst,NJ
19604,Peak,96.29,46,,
19134,Peak,96.21,47,,
19029,Peak,96.13,48,,
19138,Peak,96.04,49,,
11959,Peak,95.96,50,Quogue Village,NY
08006,Peak,95.88,51,Barnegat Light,NJ
19023,Peak,95.80,52,Darby Township,PA
08105,Peak,95.71,53,,
19120,Peak,95.63,54,,
10303,Peak,95.55,55,,
19036,Peak,95.47,56,,
08248,Peak,95.38,57,,
07827,Peak,95.30,58,,
11954,Peak,95.22,59,,
07734,Peak,95.14,60,Keansburg,NJ
07114,Peak,95.05,61,Newark,NJ
07826,Peak,94.97,62,,
07111,Peak,94.89,63,Irvington,NJ
07462,Peak,94.81,64,Vernon Township,NJ
08403,Peak,94.72,65,Longport,NJ
07419,Peak,94.64,66,Hamburg,NJ
11373,Peak,94.56,67,,
10931,Peak,94.48,68,,
07421,Peak,94.39,69,,
08212,Peak,94.31,70,Cape May Point,NJ
11976,Peak,94.23,71,,
08223,Peak,94.15,72,,
11367,Peak,94.06,73,,
07461,Peak,93.98,74,,
08735,Peak,93.90,75,Lavallette,NJ
07717,Peak,93.82,76,Avon-by-the-Sea,NJ
07103,Peak,93.73,77,Newark,NJ
19124,Peak,93.65,78,,
11958,Peak,93.57,79,,
11942,Peak,93.49,80,,
07843,Peak,93.40,81,Hopatcong,NJ
19131,Peak,93.32,82,,
11368,Peak,93.24,83,,
11722,Peak,93.16,84,,
19133,Peak,93.08,85,,
08230,Peak,92.99,86,,
08242,Peak,92.91,87,,
11978,Peak,92.83,88,Westhampton Beach Village,NY
10537,Peak,92.75,89,,
10596,Peak,92.66,90,,
07088,Peak,92.58,91,,
10456,Peak,92.50,92,,
08740,Peak,92.42,93,Ocean Gate,NJ
11952,Peak,92.33,94,,
10460,Peak,92.25,95,,
07416,Peak,92.17,96,Franklin,NJ
11930,Peak,92.09,97,,
19140,Peak,92.00,98,,
08232,Peak,91.92,99,Pleasantville,NJ
19132,Peak,91.84,100,,
08104,Peak,91.76,101,,
10040,Peak,91.67,102,New York,NY
10302,Peak,91.59,103,,
11726,Peak,91.51,104,,
07422,Peak,91.43,105,,
19143,Peak,91.34,106,,
11948,Peak,91.26,107,,
11963,Peak,91.18,108,Sag Harbor Village,NY
08722,Peak,91.10,109,Beachwood,NJ
19082,Peak,91.01,110,,
08901,Peak,90.93,111,New Brunswick,NJ
07723,Peak,90.85,112,Deal,NJ
19151,Peak,90.77,113,,
08751,Peak,90.68,114,Seaside Heights,NJ
08611,Peak,90.60,115,Trenton,NJ
11692,Peak,90.52,116,,
10467,Peak,90.44,117,,
11778,Peak,90.35,118,,
07522,Peak,90.27,119,Paterson,NJ
11950,Peak,90.19,120,,
07848,Peak,90.11,121,,
10468,Peak,90.02,122,,
10037,Momentum,89.94,123,New York,NY
10553,Momentum,89.86,124,Mount Vernon,NY
08005,Momentum,89.78,125,Barnegat Township,NJ
08826,Momentum,89.69,126,,
10455,Momentum,89.61,127,,
11224,Momentum,89.53,128,,
08731,Momentum,89.45,129,,
10459,Momentum,89.37,130,,
19121,Momentum,89.28,131,,
19136,Momentum,89.20,132,,
11569,Momentum,89.12,133,,
11770,Momentum,89.04,134,Ocean Beach Village,NY
08739,Momentum,88.95,135,,
08738,Momentum,88.87,136,Mantoloking,NJ
08323,Momentum,88.79,137,,
11937,Momentum,88.71,138,,
10034,Momentum,88.62,139,New York,NY
11933,Momentum,88.54,140,,
10032,Momentum,88.46,141,New York,NY
08079,Momentum,88.38,142,Salem,NJ
07480,Momentum,88.29,143,West Milford Township,NJ
10509,Momentum,88.21,144,Brewster,NY
10458,Momentum,88.13,145,,
08733,Momentum,88.05,146,Lakehurst,NJ
11789,Momentum,87.96,147,,
07460,Momentum,87.88,148,,
11370,Momentum,87.80,149,,
07720,Momentum,87.72,150,Bradley Beach,NJ
11436,Momentum,87.63,151,,
08069,Momentum,87.55,152,Penns Grove,NJ
07822,Momentum,87.47,153,,
08872,Momentum,87.39,154,Sayreville,NJ
10457,Momentum,87.30,155,,
19074,Momentum,87.22,156,,
07874,Momentum,87.14,157,Stanhope,NJ
08721,Momentum,87.06,158,,
